"spkid","full_name","pdes","name","neo","pha","H","G","diameter","extent","albedo","rot_per","BV","UB","IR","spec_B","spec_T","class","moid"
20000001,"     1 Ceres (A801 AA)",1,Ceres,N,N,3.34,0.12,939.4,"964.4 x 964.2 x 891.8",0.090,9.074170,0.713,0.426,,C,G,MBA,1.58
20000010,"    10 Hygiea (A849 GA)",10,Hygiea,N,N,5.65,,407.12,,0.0717,13.828,0.696,0.351,,C,C,MBA,1.79
20000013,"    13 Egeria (A850 VA)",13,Egeria,N,N,6.91,,202.636,,0.049,7.045,0.745,0.452,,Ch,G,MBA,1.44
20000019,"    19 Fortuna (A852 QA)",19,Fortuna,N,N,7.49,0.10,200,,0.037,7.4432,0.719,0.324,,Ch,G,MBA,1.06
20000024,"    24 Themis (A853 GA)",24,Themis,N,N,7.24,0.19,198,,0.067,8.374,0.684,0.336,,B,C,MBA,1.79
20000031,"    31 Euphrosyne (A854 RA)",31,Euphrosyne,N,N,6.85,,267.080,,0.053,5.53,0.687,0.317,,Cb,C,MBA,1.59
20000034,"    34 Circe (A855 GA)",34,Circe,N,N,8.77,,132.992,,0.023,12.15,0.707,0.357,,Ch,C,MBA,1.41
20000035,"    35 Leukothea (A855 HA)",35,Leukothea,N,N,8.69,,103.055,,0.066,31.9,0.703,0.335,,C,C,MBA,1.35
20000036,"    36 Atalante (A855 TA)",36,Atalante,N,N,8.59,,132.842,,0.029,9.93,0.713,0.363,,,C,MBA,0.954
20000038,"    38 Leda (A856 AA)",38,Leda,N,N,8.49,,92.255,,0.055,12.838,0.726,0.419,,Cgh,C,MBA,1.35
20000041,"    41 Daphne (A856 KA)",41,Daphne,N,N,7.59,0.10,205.495,,0.059,5.988,0.726,0.363,,Ch,C,MBA,1.05
20000045,"    45 Eugenia (A857 MA)",45,Eugenia,N,N,7.77,0.07,202.327,,0.045,5.699,0.676,0.274,,C,FC,MBA,1.49
20000046,"    46 Hestia (A857 QA)",46,Hestia,N,N,8.54,0.06,131.471,,0.046,21.04,0.692,0.226,,Xc,P,MBA,1.09
20000047,"    47 Aglaja (A857 RA)",47,Aglaja,N,N,8.18,0.16,168.174,,0.082,13.178,0.665,0.300,,B,C,MBA,1.49
20000048,"    48 Doris (A857 SA)",48,Doris,N,N,7.13,,216.473,,0.065,11.89,0.716,0.442,,Ch,CG,MBA,1.93
20000049,"    49 Pales (A857 SB)",49,Pales,N,N,8.02,,166.252,,0.048,20.705,0.749,0.411,,Ch,CG,MBA,1.42
20000050,"    50 Virginia (A857 TA)",50,Virginia,N,N,9.47,,84.074,,0.050,14.315,0.703,0.347,,Ch,X,MBA,0.897
20000051,"    51 Nemausa (A858 BA)",51,Nemausa,N,N,7.74,0.08,138.159,,0.100,7.783,0.789,0.482,,Ch,CU,MBA,1.21
20000052,"    52 Europa (A858 CA)",52,Europa,N,N,6.66,0.18,303.918,,0.057,5.6304,0.679,0.338,,C,CF,MBA,1.76
20000053,"    53 Kalypso (A858 GA)",53,Kalypso,N,N,8.92,,97.262,,0.028,9.036,0.705,0.318,,,XC,MBA,1.11
20000054,"    54 Alexandra (A858 RA)",54,Alexandra,N,N,7.96,,160.120,,0.059,7.024,0.727,0.357,,C,C,MBA,1.17
20000056,"    56 Melete (A857 RB)",56,Melete,N,N,8.54,,121.333,,0.057,18.147,0.697,0.312,,Xk,P,MBA,0.985
20000058,"    58 Concordia (A860 FA)",58,Concordia,N,N,9.04,,106.517,,0.044,9.895,0.690,0.370,,Ch,C,MBA,1.58
20000059,"    59 Elpis (A860 RA)",59,Elpis,N,N,8.12,,165.119,,0.044,13.671,0.662,0.285,,B,CP,MBA,1.4
20000062,"    62 Erato (A860 RD)",62,Erato,N,N,8.93,,106.921,,0.048,9.2213,0.708,0.378,,Ch,BU,MBA,1.61
20000065,"    65 Cybele (A861 EB)",65,Cybele,N,N,6.84,0.01,237.26,,0.0706,6.0814,0.690,0.271,,Xc,P,OMB,1.96
20000066,"    66 Maja (A861 GA)",66,Maja,N,N,9.51,,71.82,,0.016,9.73509,0.697,0.360,,Ch,C,MBA,1.2
20000070,"    70 Panopaea (A861 JA)",70,Panopaea,N,N,8.19,0.14,127.911,,0.038,15.8052,0.740,0.390,,Ch,C,MBA,1.16
20000072,"    72 Feronia (A861 KA)",72,Feronia,N,N,9.08,,74.966,,0.083,8.097,0.785,0.375,,,TDG,MBA,0.985
20000074,"    74 Galatea (A862 QA)",74,Galatea,N,N,8.93,,118.71,,0.0431,17.268,0.686,0.320,,C,C,MBA,1.12
20000076,"    76 Freia (A862 UA)",76,Freia,N,N,8.02,,145.423,,0.058,9.973,0.704,0.298,,X,P,OMB,1.86
20000078,"    78 Diana (A863 EA)",78,Diana,N,N,8.34,0.08,120.60,,0.0706,7.2991,0.713,0.380,,Ch,C,MBA,1.11
20000081,"    81 Terpsichore (A864 SA)",81,Terpsichore,N,N,8.71,,117.727,,0.045,10.943,0.701,0.346,,Cb,C,MBA,1.27
20000083,"    83 Beatrix (A865 HA)",83,Beatrix,N,N,8.75,,110.503,,0.050,10.111,0.704,0.266,,X,X,MBA,1.23
20000084,"    84 Klio (A865 QA)",84,Klio,N,N,9.34,,79.16,,0.0527,23.562,0.733,0.445,,Ch,G,MBA,0.799
20000085,"    85 Io (A865 SA)",85,Io,N,N,7.95,,154.79,,0.0666,6.875,0.668,0.294,,B,FC,MBA,1.16
20000086,"    86 Semele (A866 AA)",86,Semele,N,N,8.71,,109.929,,0.056,16.634,0.703,0.321,,,C,MBA,1.44
